seed,seen_fraction,coverage,phase,reached_phase2,actions,turns,replans,phase1_replans,phase2_replans,survival_mode_actions,phase1_actions,phase1_turns,phase1_end_seen_fraction,phase1_end_health,phase1_end_energy,phase1_temperature_discomfort_total,phase1_expert_decisions,phase2_expert_decisions,phase1_forbidden_entries,direct_hazard_entries,meat_collected,meat_health_restored,meat_health_wasted,flower_contacts,fatigue_health_losses,direct_hazard_health_losses,temperature_discomfort_total,health,energy,terminated,truncated
17,1.0,0.7066666666666667,2,True,218,40,89,55,34,0,70,14,0.8,6.0,0.16842799186706903,1.6631440162658695,56,34,0,0,3,6.0,0.0,2,15,0,12.441372776031496,0.0,9.379313611984257,True,False
18,0.9688888888888889,0.56,2,True,177,31,71,45,26,0,56,10,0.8088888888888889,7.0,9.097978782653808,2.204042434692383,46,26,0,0,3,3.0,3.0,1,13,0,9.388445854187012,0.0,9.205777072906496,True,False
19,1.0,0.6088888888888889,2,True,185,34,59,31,28,0,36,4,0.8088888888888889,8.0,1.2631044864654544,3.8737910270690916,32,28,0,0,3,4.0,2.0,1,13,0,19.08508596420289,0.0,9.457457017898559,True,False
20,0.9866666666666667,0.6266666666666667,2,True,217,48,82,55,27,0,75,19,0.8133333333333334,5.0,4.681732559204096,9.636534881591794,56,27,0,0,3,6.0,0.0,1,16,0,21.22881145477296,0.0,9.785594272613519,True,False
21,1.0,0.6133333333333333,2,True,195,34,84,52,32,0,66,13,0.8133333333333334,7.0,1.3727752685546872,4.654449462890625,53,32,0,0,3,5.0,1.0,2,15,0,23.57970781326294,0.0,9.210146093368522,True,False
22,0.96,0.5555555555555556,2,True,202,42,75,48,27,0,58,9,0.8,6.0,6.2041670799255355,3.7916658401489256,49,27,0,0,3,6.0,0.0,0,16,0,39.59004240036011,0.0,9.604978799819941,True,False
23,1.0,0.5422222222222223,2,True,163,31,67,41,26,0,50,8,0.8044444444444444,9.0,2.4252670288085962,3.1494659423828133,42,26,0,0,3,2.0,4.0,1,12,0,11.184801101684572,0.0,9.507599449157713,True,False
24,1.0,0.6133333333333333,2,True,211,37,83,57,26,0,67,9,0.8133333333333334,10.0,0.09635143280029779,1.607297134399414,58,26,0,0,3,6.0,0.0,2,16,0,20.416173648834228,0.0,9.491913175582898,True,False
25,0.9555555555555556,0.5022222222222222,2,True,186,35,87,63,24,0,80,16,0.8044444444444444,5.0,0.34429850578307786,7.311402988433838,64,24,0,0,3,4.0,2.0,0,14,0,18.915283012390134,0.0,9.242358493804923,True,False
26,1.0,0.5644444444444444,2,True,214,45,97,65,32,0,85,19,0.8,4.0,7.345767831802367,8.308464336395264,66,32,0,0,3,6.0,0.0,2,16,0,23.150833511352545,0.0,9.724583244323732,True,False
27,0.9911111111111112,0.6488888888888888,2,True,209,38,83,49,34,0,59,9,0.8088888888888889,6.0,5.756405448913578,3.0871891021728515,50,34,0,0,3,6.0,0.0,1,14,0,24.459432315826405,0.0,9.570283842086798,True,False
28,0.9866666666666667,0.6533333333333333,2,True,205,35,92,66,26,0,80,13,0.8044444444444444,5.0,0.6599591732025142,3.680081653594971,67,26,0,0,3,6.0,0.0,0,16,0,27.243769836425788,0.0,9.878115081787108,True,False
29,0.9733333333333334,0.6577777777777778,2,True,208,43,98,65,33,0,78,12,0.8,7.0,1.5364457130432132,4.127108573913573,66,33,0,0,3,6.0,0.0,2,16,0,31.60973024368287,0.0,9.29513487815857,True,False
30,1.0,0.6533333333333333,2,True,203,37,88,47,41,0,61,13,0.8,7.0,6.306043767929078,2.7879124641418467,48,41,0,0,3,5.0,1.0,2,15,0,13.787005043029785,0.0,9.206497478485108,True,False
31,1.0,0.6266666666666667,2,True,205,39,71,44,27,0,54,9,0.8088888888888889,8.0,9.569109058380128,3.4617818832397464,45,27,0,0,3,6.0,0.0,2,15,0,31.2371385574341,0.0,9.88143072128296,True,False
32,0.9466666666666667,0.5022222222222222,2,True,168,30,79,61,18,0,78,16,0.8088888888888889,8.0,1.520847749710083,8.158304500579835,62,18,0,0,3,3.0,3.0,1,13,0,22.226072311401367,0.0,9.486963844299316,True,False
33,1.0,0.6933333333333334,2,True,213,37,90,58,32,0,70,11,0.8133333333333334,7.0,7.372927951812742,4.254144096374511,59,32,0,0,3,6.0,0.0,1,16,0,17.654901695251464,0.0,9.272549152374271,True,False
34,0.9911111111111112,0.56,2,True,180,31,85,62,23,0,77,14,0.8177777777777778,5.0,3.2568912029266333,4.286217594146728,63,23,0,0,3,4.0,2.0,1,14,0,24.312429332733153,0.0,9.343785333633416,True,False
35,1.0,0.6311111111111111,2,True,213,43,82,47,35,0,57,9,0.8,6.0,7.9504373550415,1.8991252899169921,48,35,0,0,3,6.0,0.0,2,16,0,22.351187705993652,0.0,9.924406147003172,True,False
36,0.9911111111111112,0.6133333333333333,2,True,209,41,75,42,33,0,51,8,0.8,7.0,2.4358425617218016,1.5283148765563965,43,33,0,0,3,6.0,0.0,1,15,0,27.52264966964723,0.0,9.538675165176393,True,False
37,0.9911111111111112,0.5733333333333334,2,True,181,32,78,47,31,0,57,9,0.8,8.0,8.33321490287781,1.1335701942443848,48,31,0,0,3,4.0,2.0,2,14,0,23.214518642425535,0.0,9.59274067878723,True,False
38,1.0,0.6444444444444445,2,True,199,42,73,42,31,0,51,8,0.8044444444444444,7.0,1.177840232849125,4.044319534301758,43,31,0,0,3,6.0,0.0,1,15,0,44.67081365585325,0.0,9.46459317207336,True,False
39,1.0,0.6355555555555555,2,True,204,40,79,45,34,0,56,10,0.8,6.0,9.307894420623779,1.7842111587524416,46,34,0,0,3,6.0,0.0,2,16,0,35.062711334228524,0.0,9.268644332885739,True,False
40,0.9911111111111112,0.5555555555555556,2,True,190,33,69,44,25,0,54,9,0.8088888888888889,7.0,8.299753379821777,6.000493240356446,45,25,0,0,3,5.0,1.0,1,15,0,29.143373012542735,0.0,9.928313493728636,True,False
41,0.9955555555555555,0.64,2,True,216,40,89,59,30,0,72,12,0.8088888888888889,5.0,8.391583156585693,0.016833686828613283,60,30,0,0,3,6.0,0.0,1,16,0,15.183570098876952,0.0,9.608214950561523,True,False
42,0.9955555555555555,0.6222222222222222,2,True,212,43,98,69,29,0,89,19,0.8177777777777778,6.0,5.691972112655636,5.21605577468872,70,29,0,0,3,6.0,0.0,1,16,0,25.055683326721194,0.0,9.3721583366394,True,False
43,0.9244444444444444,0.52,2,True,178,34,69,52,17,0,65,12,0.8,9.0,1.901827621459966,4.1963447570800785,53,17,0,0,3,3.0,3.0,1,13,0,10.070169830322266,0.0,9.564915084838868,True,False
44,1.0,0.6711111111111111,2,True,215,44,68,34,34,0,44,9,0.8088888888888889,7.0,6.627456283569339,5.345087432861328,35,34,0,0,3,6.0,0.0,2,16,0,20.206378841400156,0.0,9.896810579299931,True,False
45,0.9955555555555555,0.6755555555555556,2,True,212,38,84,50,34,0,62,11,0.8088888888888889,8.0,4.358714199066164,3.0825716018676768,51,34,0,0,3,6.0,0.0,2,16,0,19.1263095855713,0.0,9.836845207214356,True,False
46,0.9866666666666667,0.6666666666666666,2,True,210,48,93,62,31,0,76,13,0.8088888888888889,5.0,3.797608566284179,3.8047828674316397,63,31,0,0,3,6.0,0.0,1,16,0,32.492288684844986,0.0,9.753855657577514,True,False
47,0.9733333333333334,0.5688888888888889,2,True,198,38,96,72,24,0,91,18,0.8133333333333334,7.0,2.881633758544919,6.636732482910156,73,24,0,0,3,5.0,1.0,1,15,0,21.76193075180054,0.0,9.719034624099724,True,False
48,0.9466666666666667,0.5777777777777777,2,True,196,37,87,65,22,0,80,14,0.8177777777777778,8.0,0.12685308456420974,5.746293830871582,66,22,0,0,3,5.0,1.0,1,15,0,23.826729869842545,0.0,9.786635065078729,True,False
49,1.0,0.7022222222222222,2,True,213,36,93,53,40,0,65,11,0.8133333333333334,6.0,1.440754127502445,4.118491744995117,54,40,0,0,3,6.0,0.0,2,16,0,15.23720741271973,0.0,9.981396293640145,True,False
50,0.9866666666666667,0.5511111111111111,2,True,193,39,83,61,22,0,73,11,0.8133333333333334,5.0,3.2161728858947725,7.767654228210446,62,22,0,0,3,6.0,0.0,1,15,0,50.935201835632306,0.0,9.632399082183834,True,False
51,1.0,0.7111111111111111,2,True,216,36,80,43,37,0,52,8,0.8,7.0,1.969604206085206,0.86079158782959,44,37,0,0,3,6.0,0.0,2,16,0,11.676531410217285,0.0,9.36173429489136,True,False
52,0.9911111111111112,0.6355555555555555,2,True,185,30,76,47,29,0,56,8,0.8,6.0,8.323613595962522,1.7527728080749512,48,29,0,0,3,4.0,2.0,2,14,0,15.2565239906311,0.0,9.37173800468445,True,False
53,0.9644444444444444,0.5466666666666666,2,True,205,40,68,43,25,0,52,8,0.8,7.0,0.37394075393676707,4.052118492126465,44,25,0,0,3,6.0,0.0,1,16,0,32.128326988220216,0.0,9.935836505889892,True,False
54,0.9555555555555556,0.5288888888888889,2,True,187,36,74,57,17,0,69,11,0.8,5.0,7.967059612274169,4.66588077545166,58,17,0,0,2,4.0,0.0,1,13,0,17.83321895599365,0.0,9.483390522003175,True,False
55,1.0,0.6044444444444445,2,True,206,40,69,43,26,0,56,12,0.8044444444444444,6.0,7.840739345550538,6.718521308898926,44,26,0,0,3,6.0,0.0,0,15,0,30.928092575073244,0.0,9.735953712463376,True,False
56,0.9511111111111111,0.5288888888888889,2,True,186,39,99,76,23,0,96,19,0.8,3.0,9.65084056854248,6.09831886291504,77,23,0,0,2,4.0,0.0,1,14,0,21.870993804931647,0.0,9.764503097534181,True,False
57,0.9866666666666667,0.5555555555555556,2,True,202,39,82,57,25,0,72,14,0.8088888888888889,5.0,3.562301588058469,11.675396823883055,58,25,0,0,3,6.0,0.0,0,16,0,37.03225326538084,0.0,9.383873367309569,True,False
58,0.9777777777777777,0.5733333333333334,2,True,210,48,100,67,33,0,88,20,0.8044444444444444,4.0,6.946770334243766,5.3064593315124515,68,33,0,0,3,6.0,0.0,2,16,0,33.07294340133668,0.0,9.46352829933166,True,False
59,1.0,0.6311111111111111,2,True,192,36,90,60,30,0,74,13,0.8088888888888889,6.0,4.41615285873413,5.767694282531738,61,30,0,0,3,5.0,1.0,2,14,0,29.338137245178217,0.0,9.730931377410885,True,False
60,0.9955555555555555,0.6444444444444445,2,True,205,40,88,49,39,0,61,11,0.8088888888888889,6.0,3.752016019821168,5.895967960357666,50,39,0,0,3,6.0,0.0,2,15,0,32.7589859008789,0.0,9.620507049560546,True,False
61,0.9244444444444444,0.5288888888888889,2,True,186,36,92,70,22,0,89,18,0.8088888888888889,4.0,4.13006749153137,7.339865016937256,71,22,0,0,3,4.0,2.0,1,14,0,18.661276340484612,0.0,9.869361829757691,True,False
62,0.9955555555555555,0.5955555555555555,2,True,194,40,96,65,31,0,83,17,0.8,7.0,0.7505241870880126,2.698951625823975,66,31,0,0,3,4.0,2.0,2,13,0,11.440590286254881,0.0,9.07970485687256,True,False
63,0.9822222222222222,0.6133333333333333,2,True,217,38,81,49,32,0,60,10,0.8,6.0,5.87592315673828,2.2481536865234375,50,32,0,0,3,6.0,0.0,1,16,0,12.307023143768312,0.0,9.24648842811585,True,False
64,0.9911111111111112,0.6,2,True,212,40,96,68,28,0,82,13,0.8177777777777778,7.0,0.03789176940918404,1.7242164611816404,69,28,0,0,3,6.0,0.0,2,16,0,21.328598976135257,0.0,9.735700511932372,True,False
65,1.0,0.6711111111111111,2,True,186,26,84,47,37,0,56,8,0.8088888888888889,9.0,7.51884145736694,3.3623170852661137,48,37,0,0,3,5.0,1.0,1,15,0,30.46761388778687,0.0,8.966193056106562,True,False
66,1.0,0.6533333333333333,2,True,212,37,101,68,33,0,85,16,0.8044444444444444,6.0,7.898176860809327,4.203646278381348,69,33,0,0,3,6.0,0.0,1,16,0,18.532525825500493,0.0,9.633737087249756,True,False
67,0.9733333333333334,0.6133333333333333,2,True,218,42,94,65,29,0,79,13,0.8133333333333334,5.0,0.6360963821411107,5.327807235717774,66,29,0,0,3,6.0,0.0,1,16,0,13.426251029968261,0.0,9.886874485015865,True,False
68,0.9866666666666667,0.6622222222222223,2,True,215,38,74,47,27,0,57,9,0.8,8.0,7.777314805984496,2.2453703880310054,48,27,0,0,3,6.0,0.0,1,15,0,14.778453731536862,0.0,9.610773134231573,True,False
69,1.0,0.68,2,True,211,34,92,55,37,0,67,11,0.8088888888888889,5.0,9.17976741790771,5.44046516418457,56,37,0,0,3,6.0,0.0,1,16,0,17.73985786437989,0.0,9.330071067810058,True,False
70,0.9866666666666667,0.5111111111111111,2,True,191,43,99,74,25,0,98,23,0.8088888888888889,3.0,9.601757001876827,6.99648599624634,75,25,0,0,3,4.0,2.0,2,13,0,18.459177875518797,0.0,9.470411062240597,True,False
71,1.0,0.6577777777777778,2,True,209,40,89,62,27,0,74,11,0.8044444444444444,7.0,5.833924102783203,0.9321517944335938,63,27,0,0,3,6.0,0.0,1,15,0,26.757338333129873,0.0,9.421330833435054,True,False
72,0.9688888888888889,0.5511111111111111,2,True,212,39,85,65,20,0,79,13,0.8088888888888889,5.0,1.7211696624755912,3.157660675048828,66,20,0,0,3,6.0,0.0,1,15,0,20.08105182647705,0.0,9.85947408676148,True,False
73,1.0,0.5644444444444444,2,True,173,28,108,79,29,0,97,17,0.8177777777777778,5.0,6.987869787216184,7.824260425567627,80,29,0,0,3,4.0,2.0,1,14,0,31.476077651977548,0.0,9.861961174011224,True,False
74,1.0,0.6888888888888889,2,True,203,32,73,41,32,0,49,7,0.8,9.0,3.4897466659545926,1.6205066680908202,42,32,0,0,3,6.0,0.0,1,15,0,28.133813953399667,0.0,9.53309302330017,True,False
75,0.9466666666666667,0.4711111111111111,2,True,183,40,88,73,15,0,94,20,0.8133333333333334,6.0,0.37206373214721733,8.855872535705569,74,15,0,0,2,4.0,0.0,1,14,0,28.07372303009034,0.0,9.563138484954834,True,False
76,1.0,0.6355555555555555,2,True,210,43,98,71,27,0,93,21,0.8,6.0,0.8549777030944861,10.490044593811035,72,27,0,0,3,6.0,0.0,2,16,0,27.027979278564445,0.0,9.98601036071778,True,False
77,0.9244444444444444,0.4888888888888889,2,True,168,34,56,40,16,0,50,9,0.8177777777777778,8.0,2.5288101673126224,3.942379665374755,41,16,0,0,2,3.0,1.0,2,13,0,25.569357204437257,0.0,9.81532139778137,True,False
78,0.9822222222222222,0.5866666666666667,2,True,204,37,77,52,25,0,65,12,0.8044444444444444,8.0,0.884113597869874,6.231772804260253,53,25,0,0,3,6.0,0.0,2,16,0,32.016300487518315,0.0,9.29184975624084,True,False
79,1.0,0.6444444444444445,2,True,212,34,93,64,29,0,78,13,0.8044444444444444,7.0,3.43821134567261,1.3235773086547853,65,29,0,0,3,6.0,0.0,2,16,0,15.803988265991212,0.0,9.498005867004403,True,False
80,0.9866666666666667,0.7155555555555555,2,True,218,37,94,67,27,0,81,13,0.8088888888888889,9.0,1.4362327575683593,0.5275344848632812,68,27,0,0,3,6.0,0.0,2,16,0,9.278468132019045,0.0,9.460765933990478,True,False
81,0.9733333333333334,0.5733333333333334,2,True,222,50,90,68,22,0,89,20,0.8133333333333334,6.0,5.828332710266111,5.943334579467772,69,22,0,0,3,6.0,0.0,2,15,0,15.644915008544926,0.0,9.577542495727537,True,False
82,1.0,0.5822222222222222,2,True,183,37,80,57,23,0,72,14,0.8,5.0,7.8252140045165985,3.1495719909667965,58,23,0,0,2,4.0,0.0,1,14,0,24.812855339050294,0.0,9.693572330474849,True,False
83,0.92,0.4622222222222222,2,True,147,28,74,59,15,0,74,14,0.8177777777777778,6.0,5.819689178466798,3.960621643066406,60,15,0,0,1,1.0,1.0,1,11,0,14.110035705566409,0.0,9.3449821472168,True,False
84,0.9955555555555555,0.5955555555555555,2,True,222,46,82,53,29,0,63,9,0.8,6.0,2.342326641082761,3.5153467178344733,54,29,0,0,3,6.0,0.0,2,16,0,13.345264625549321,0.0,8.727367687225339,True,False
85,0.9822222222222222,0.5866666666666667,2,True,182,34,83,58,25,0,72,13,0.8044444444444444,7.0,6.245114898681639,5.309770202636719,59,25,0,0,3,4.0,2.0,2,14,0,22.861867141723632,0.0,9.96906642913818,True,False
86,1.0,0.6888888888888889,2,True,220,45,69,40,29,0,47,6,0.8,7.0,4.479386472702025,1.8412270545959473,41,29,0,0,3,6.0,0.0,2,16,0,14.054615306854252,0.0,9.472692346572876,True,False
87,0.9955555555555555,0.6444444444444445,2,True,210,44,75,47,28,0,56,8,0.8044444444444444,6.0,7.2114724636077865,3.9770550727844234,48,28,0,0,3,6.0,0.0,2,16,0,28.082261371612557,0.0,9.95886931419372,True,False
88,0.92,0.5288888888888889,2,True,181,36,74,58,16,0,71,12,0.8133333333333334,6.0,8.356730937957765,1.6865381240844726,59,16,0,0,3,3.0,3.0,0,13,0,6.770865821838378,0.0,9.814567089080814,True,False
89,0.9955555555555555,0.7155555555555555,2,True,226,45,98,56,42,0,70,13,0.8044444444444444,8.0,0.5000000000000031,0.0,57,42,0,0,3,6.0,0.0,2,16,0,3.8166347503662106,0.0,9.791682624816898,True,False
90,1.0,0.6444444444444445,2,True,205,37,97,65,32,0,80,14,0.8,7.0,1.5326834678649877,2.93463306427002,66,32,0,0,3,6.0,0.0,1,16,0,30.549891281127938,0.0,9.22505435943603,True,False
91,0.9822222222222222,0.6088888888888889,2,True,212,40,96,72,24,0,92,19,0.8133333333333334,6.0,3.5591186523437472,4.681762695312499,73,24,0,0,3,6.0,0.0,2,15,0,21.921525001525886,0.0,9.439237499237057,True,False
92,0.9511111111111111,0.4,2,True,122,22,59,41,18,0,49,7,0.8,7.0,3.1806856155395513,2.238628768920898,42,18,0,0,0,0.0,0.0,1,10,0,28.251549530029305,0.0,9.274225234985353,True,False
93,1.0,0.6355555555555555,2,True,204,38,102,71,31,0,88,16,0.8177777777777778,6.0,6.713250494003299,1.773499011993408,72,31,0,0,3,6.0,0.0,2,16,0,32.58175344467164,0.0,9.509123277664191,True,False
94,0.9955555555555555,0.6088888888888889,2,True,209,34,85,55,30,0,69,13,0.8,5.0,9.875060176849365,2.8498796463012694,56,30,0,0,3,6.0,0.0,1,15,0,19.606153869628898,0.0,9.99692306518555,True,False
95,1.0,0.6888888888888889,2,True,224,45,75,42,33,0,51,8,0.8,7.0,2.6296478748321555,1.1407042503356934,43,33,0,0,3,6.0,0.0,1,15,0,7.450200557708739,0.0,9.574899721145636,True,False
96,1.0,0.6666666666666666,2,True,215,41,75,44,31,0,53,8,0.8133333333333334,7.0,0.6266077995300328,1.9467844009399415,45,31,0,0,3,6.0,0.0,0,16,0,18.256767845153806,0.0,9.371616077423095,True,False
97,1.0,0.6888888888888889,2,True,209,37,90,60,30,0,73,12,0.8133333333333334,5.0,4.299040126800537,6.601919746398924,61,30,0,0,3,6.0,0.0,2,15,0,24.197246170043943,0.0,9.201376914978031,True,False
98,0.9822222222222222,0.6622222222222223,2,True,211,41,91,57,34,0,69,11,0.8,7.0,9.145206356048583,2.3095872879028323,58,34,0,0,3,6.0,0.0,2,16,0,23.408214282989512,0.0,9.99589285850525,True,False
99,0.9866666666666667,0.6,2,True,204,40,93,61,32,0,75,13,0.8044444444444444,5.0,4.119758558273315,4.76048288345337,62,32,0,0,3,6.0,0.0,1,16,0,35.211496925354005,0.0,9.194251537322998,True,False
100,0.9777777777777777,0.5822222222222222,2,True,207,44,75,53,22,0,68,14,0.8044444444444444,6.0,0.42921524047851567,4.341569519042968,54,22,0,0,3,6.0,0.0,0,16,0,33.55837860107422,0.0,9.620810699462892,True,False
101,0.9955555555555555,0.6222222222222222,2,True,195,31,87,60,27,0,73,12,0.8,6.0,6.020258188247687,3.1594836235046384,61,27,0,0,3,5.0,1.0,2,15,0,19.5137541770935,0.0,9.743122911453247,True,False
102,0.9911111111111112,0.5955555555555555,2,True,204,33,95,70,25,0,83,12,0.8088888888888889,4.0,7.853465700149536,3.4930685997009268,71,25,0,0,3,6.0,0.0,0,16,0,28.08734912872315,0.0,9.256325435638427,True,False
103,0.9822222222222222,0.6311111111111111,2,True,209,40,98,69,29,0,86,16,0.8,8.0,7.964529991149903,2.470940017700195,70,29,0,0,3,6.0,0.0,0,16,0,26.943161678314215,0.0,9.328419160842893,True,False
104,0.9733333333333334,0.5377777777777778,2,True,184,31,84,61,23,0,73,11,0.8,5.0,5.530077648162845,3.139844703674316,62,23,0,0,3,4.0,2.0,0,14,0,16.64488868713379,0.0,9.977555656433104,True,False
105,0.9777777777777777,0.5422222222222223,2,True,172,30,78,51,27,0,62,10,0.8044444444444444,6.0,3.1913074970245363,4.417385005950927,52,27,0,0,3,4.0,2.0,0,13,0,35.518469142913816,0.0,9.640765428543089,True,False
106,1.0,0.6933333333333334,2,True,213,39,92,57,35,0,68,10,0.8177777777777778,5.0,9.308510446548462,2.5829791069030765,58,35,0,0,3,6.0,0.0,1,16,0,18.425000190734867,0.0,9.887499904632566,True,False
